date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-14 23:14:27,Blklivesmatter,,33,351,650,"It has been two months since the murder of #BreonnaTaylor in her own home by police. We will continue to put pressure on the Louisville prosecutor to hold the officers accountable. Sign this letter. #blacklivesmatter https://bit.ly/2WWwTRB #SayHerName",,,#BreonnaTaylor #blacklivesmatter #blacklivesmatter #SayHerName,1261072414244569105,https://twitter.com/Blklivesmatter/status/1261072414244569105
2019-10-17 23:24:40,FarandWidecom,,52,19,54,"English is the most spoken language in the world. Can you guess what No. 2 is?",,,,1184973532738052096,https://twitter.com/FarandWidecom/status/1184973532738052096
2020-05-14 23:13:22,AlphonsoDavid,,2,27,93,"Asleep in our beds. Jogging down the street. To be Black in this country can be a death sentence. As we mourn with Breonna Taylor's loved ones, we all should demand action & justice. #BlackLivesMatter ",,,#BlackLivesMatter #BlackLivesMatter,1261072141501464576,https://twitter.com/AlphonsoDavid/status/1261072141501464576
2020-05-14 22:59:59,phillipmbailey,,0,8,51,"FYI. I'll be @MSNBC at 2 p.m. Saturday discussing the fatal shooting of #BreonnaTaylor by @LMPD. #Louisville #BlackLivesMatter",,@MSNBC @LMPD,#BreonnaTaylor #Louisville #BlackLivesMatter #BlackLivesMatter,1261068774133903362,https://twitter.com/phillipmbailey/status/1261068774133903362
2020-05-14 22:59:14,MoveOn,,2,73,141,"Breonna Taylor deserves justice. Breonna Taylor’s mother deserves answers. #BlackLivesMatter. Black women’s lives matter. ",,,#BlackLivesMatter #BlackLivesMatter,1261068582156288000,https://twitter.com/MoveOn/status/1261068582156288000
2020-05-14 22:46:25,JohnathanPerk,,1,8,25,"Breonna Taylor. Say her name. #BlackLivesMatter #BreonnaTaylor",,,#BlackLivesMatter #BlackLivesMatter #BreonnaTaylor,1261065356543574016,https://twitter.com/JohnathanPerk/status/1261065356543574016
2020-05-14 22:02:37,brvvo_72,,0,39,41,"The first look at our hand made Tie-Die Oppressed Culture Shirts. Summer time fine. We are coming out of the shadows of the dark and into the light of the sun. Short sleeves are $50 long sleeves are $65 #BlackLivesMatter #BlackBusiness",,,#BlackLivesMatter #BlackLivesMatter #BlackBusiness,1261054334298738689,https://twitter.com/brvvo_72/status/1261054334298738689
2020-05-14 21:18:28,tcupanman,,0,10,42,"We have almost-daily, blatant examples of white privilege in the media, yet I still see and hear white friends deny that it exists. Crazy... #BlackLivesMatter #BrownLivesMatter",,,#BlackLivesMatter #BlackLivesMatter #BrownLivesMatter,1261043223482576897,https://twitter.com/tcupanman/status/1261043223482576897
2020-05-14 21:07:04,AttorneyCrump,,2,9,23,"Join us now on Facebook, Youtube and Periscope as we talk about injustice and crimes against our communities. #BlackLivesMatter @jamalhbryant @newbirthmbc",,@jamalhbryant @newbirthmbc,#BlackLivesMatter #BlackLivesMatter,1261040355635494913,https://twitter.com/AttorneyCrump/status/1261040355635494913
2020-05-14 20:59:51,MPower_Change,,1,15,43,"#AhmaudAubrey was shot and killed by two white supremacists while he was jogging through Brunswick, Georgia on a sunny, Sunday afternoon. Although our hearts are heavy we will continue the fight for justice. #SayHisName #justiceforAhmaud #IrunwithAhmaud #blacklivesmatter pic.twitter.com/Vx8xqHWXmv",,,#AhmaudAubrey #SayHisName #justiceforAhmaud #IrunwithAhmaud #blacklivesmatter #blacklivesmatter,1261038540684578817,https://twitter.com/MPower_Change/status/1261038540684578817
2020-05-14 20:03:12,TransEquality,Blklivesmatter,0,10,23,"#BreonnaTaylor's murder is unacceptable. Police violence against the black community is unacceptable. Black people are 3x more likely to be killed by police. Black #trans people are 6x more likely to be attacked by police. The violence must stop. #blacklivesmatter ",,,#BreonnaTaylor #trans #blacklivesmatter #blacklivesmatter,1261024282622246913,https://twitter.com/TransEquality/status/1261024282622246913
2020-05-14 20:01:51,julianygonzalez,,0,7,23,"Protect black women. Protect black men. Protect black futures. Protect ALL black lives. #BlackLivesMatter",,,#BlackLivesMatter #BlackLivesMatter,1261023944171233280,https://twitter.com/julianygonzalez/status/1261023944171233280
2020-05-14 19:51:05,ACLU,,5,55,117,"From Michael Brown, to Alton Sterling, to Ahmaud Arbery, our right to protest has been crucial to the fight for justice for Black Americans. #BlackLivesMatter advocate @deray joined us on our podcast to talk about a legal threat facing that right.",,@deray,#BlackLivesMatter #BlackLivesMatter,1261021235573596167,https://twitter.com/ACLU/status/1261021235573596167
2020-05-14 19:42:58,pamelaadlon,,5,114,364,"We need to talk about this. And we can’t stop talking about this. Here are three black women, murdered during COVID-19. SAY HER NAME. BELLY MUJINGA. SAY HER NAME. NINA POP. SAY HER NAME. BREONNA TAYLOR. #BlackLivesMatter #Sayhername #BreonnaTaylor #BellyMujinga #NinaPop",,,#BlackLivesMatter #BlackLivesMatter #Sayhername #BreonnaTaylor #BellyMujinga #NinaPop,1261019192909721600,https://twitter.com/pamelaadlon/status/1261019192909721600
2020-05-14 19:02:18,tim_fall,,8,27,230,"When people say #BlackLivesMatter, it’s not because they don’t think all lives matter. It’s because Black lives don’t actually matter to all people.",,,#BlackLivesMatter #BlackLivesMatter,1261008958686236672,https://twitter.com/tim_fall/status/1261008958686236672
2020-05-14 17:57:49,wondaland,,0,13,15,"Breonna Taylor. We speak your name. FIGHT FOR BREONNA at http://JUSTICEFORBREONNA.ORG #JusticeForBreonnaTaylor #SayHerName #BlackLivesMatter ",,,#JusticeForBreonnaTaylor #SayHerName #BlackLivesMatter #BlackLivesMatter,1260992730202697728,https://twitter.com/wondaland/status/1260992730202697728
2020-05-14 17:43:21,AttorneyCrump,,30,75,188,"Unbelievable. A Black man can't even do his job without being questioned. As frustrating as this is, I'm glad it didn't end up in another tragedy. We are with you, Mr. Miller #BlackLivesMatter Watch full video on IG: https://bit.ly/2T4O4iG",,,#BlackLivesMatter #BlackLivesMatter,1260989088888434693,https://twitter.com/AttorneyCrump/status/1260989088888434693
2020-05-14 17:41:58,WorkersGroupNO,,1,39,69,"Solidarity with the City Waste Union! New Orleans sanitation workers continue to strike! #NewOrleans #PPE #coronavirus #COVID #thursdaymorning #BlackLivesMatter #Louisiana",,,#NewOrleans #PPE #coronavirus #COVID #thursdaymorning #BlackLivesMatter #BlackLivesMatter #Louisiana,1260988740031467520,https://twitter.com/WorkersGroupNO/status/1260988740031467520
2020-05-14 16:27:07,RandiforCO,,3,2,23,"This white lady ally is now a proud member of the @NAACP Maybe you didn’t know, like me, that ANY and EVERY ally can be a member no matter skin color. It’s past time for more of us to step up and speak out, Who’s with me? #ally #accomplice #BlackLivesMatter ",,@NAACP,#ally #accomplice #BlackLivesMatter #BlackLivesMatter,1260969903106011137,https://twitter.com/RandiforCO/status/1260969903106011137
2020-05-14 16:10:08,umcjustice,,2,9,14,"White supremacy must be eradicated. It is imperative for the white community to advance beyond mere statements condemning racially motivated violence. #JusticeForAhmaud #BlackLivesMatter http://ow.ly/6ApX50zCJNY",,,#JusticeForAhmaud #BlackLivesMatter #BlackLivesMatter,1260965628271382533,https://twitter.com/umcjustice/status/1260965628271382533
2020-05-14 16:00:23,NNUBonnie,,1,11,14,"#COVID19 has had a disproportionate impact on communities of color. In Chicago, 70 of the city’s 100 first recorded victims of #COVID19 were black. #BlackLivesMatter ",,,#COVID19 #COVID19 #BlackLivesMatter #BlackLivesMatter,1260963177073987584,https://twitter.com/NNUBonnie/status/1260963177073987584
