date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-14 23:59:47,RenuBakshi,,9,28,190,"The original #Zoom meeting. #TheMuppets #Kirmit #COVID19 #coronavirus",,,#Zoom #TheMuppets #Kirmit #COVID19 #coronavirus,1261083821455204353,https://twitter.com/RenuBakshi/status/1261083821455204353
2020-05-14 23:59:35,maringov,,1,10,20,"Clear guidance is coming Friday on how and when #MarinCounty business can safely resume and how to obtain the tools that will make the reopening planning process easier. https://www.marincounty.org/main/county-press-releases/press-releases/2020/hhs-covid-retailreopening-051420 #COVID19 #Coronavirus",,,#MarinCounty #COVID19 #Coronavirus,1261083771563962368,https://twitter.com/maringov/status/1261083771563962368
2020-05-14 23:59:20,NickSawyerMD,LuluLemew,10,98,205,"I recently spent 2 weeks volunteering in a 40 bed #COVID19 ICU in NYC. This virus is devastating to those who become critically ill - and there is no known treatment. Please heed my warning. Be safe. ",,,#COVID19,1261083706246062082,https://twitter.com/NickSawyerMD/status/1261083706246062082
2020-05-14 23:59:03,adriandix,,11,11,52,"15 new cases of #COVID19, for a total of 2392 in #BC today. 58 people are hospitalized (-1 from yesterday); of those, 12 are in intensive care (-2 from yesterday).",,,#COVID19 #BC,1261083635924340737,https://twitter.com/adriandix/status/1261083635924340737
2020-05-14 23:59:01,Thomasctsai,,2,13,28,"A lot of focus today on “darkest winter” from Dr. Bright testimony. But let’s focus instead on our window of opportunity. Darkest winter is not fated. #TestAndTrace can let us take back control of #COVID19 Enjoyed being on @SeanaNSmith @YahooFinance",,@SeanaNSmith @YahooFinance,#TestAndTrace #COVID19,1261083626780995590,https://twitter.com/Thomasctsai/status/1261083626780995590
2020-05-14 23:58:48,BezBhamber,,1,8,70,"Good laughs and good morale are key factors to a happy work environment during #COVID19. @PeelPolice NCO's are going above and beyond to keep our platoons safe and operational. Ty S/Sgt Gonsalves for bringing in some #tiramisu for us! @peel1965 @Hiltz1881 @ChiefNish @PRPA_Prez",,@PeelPolice @peel1965 @Hiltz1881 @ChiefNish @PRPA_Prez,#COVID19 #tiramisu,1261083574364778502,https://twitter.com/BezBhamber/status/1261083574364778502
2020-05-14 23:57:03,theGCF,GretaThunberg,2,9,27,"Fighting #climatechange doesn't stop just because of the challenges brought by #COVID19. @GretaThunberg reminds all to listen to science. Taking #climateaction to simultaneously address both crises is essential to protect both people and the planet.",,@GretaThunberg,#climatechange #COVID19 #climateaction #climateaction,1261083133346119681,https://twitter.com/theGCF/status/1261083133346119681
2020-05-14 23:56:45,BeardedRadar,MyArKnet,0,13,25,"Two version updates in two days. What a blast watching this grow weekly. We'll look back at the end of the year and just be floored. $TTCM @MyArKnet @Tautachrome_Inc @KlickZied @HoneycombDigitL #ARknet #SmallBusiness #COVID19 #success #blindguyapproves",,@MyArKnet @Tautachrome_Inc @KlickZied @HoneycombDigitL,#ARknet #SmallBusiness #COVID19 #success #blindguyapproves,1261083058972897281,https://twitter.com/BeardedRadar/status/1261083058972897281
2020-05-14 23:55:41,intheMatrixxx,,6,137,215,"Reminder: ""The overwhelming majority of people recover from this virus."" - Dr. Fauci May 12, 2020 #COVID19 ",,,#COVID19,1261082788440260610,https://twitter.com/intheMatrixxx/status/1261082788440260610
2020-05-14 23:53:04,ghida_fakhry,_InsideAmerica,1,22,34,"Great to speak w/ @marclamonthill about the pandemic’s racial inequalities and why ‘we need to move away from color blindness’. Recent data from @CDCgov shows 80% of #COVID19 patients in Georgia are African American. ",,@marclamonthill @CDCgov,#COVID19,1261082130928599041,https://twitter.com/ghida_fakhry/status/1261082130928599041
2020-05-14 23:52:16,ifamericansknew,,3,36,29,".@SenatorMenendez The Senate Foreign Relations Committee is poised to vote on S. 3176 - which gives $38 BILLION to Israel - given the devastation to the US economy, should they reject it? #COVID19 Aid to Israel hurts U.S. Read: ",,@SenatorMenendez,#COVID19,1261081930155450368,https://twitter.com/ifamericansknew/status/1261081930155450368
2020-05-14 23:52:13,LinfieldUniv,,0,4,31,"Yamhill County is approved to begin Phase 1 of reopening tomorrow. Learn more about how this impacts Linfield. #COVID19 ",,,#COVID19,1261081918507974657,https://twitter.com/LinfieldUniv/status/1261081918507974657
2020-05-14 23:52:09,NYCComptroller,NYDailyNews,8,12,48,"New Yorkers have endured enormous amounts of suffering and pain during this crisis. They deserve a full, transparent account of how their government prepared and responded to #COVID19. ",,,#COVID19,1261081899985973252,https://twitter.com/NYCComptroller/status/1261081899985973252
