date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-30 19:35:42,gretylandgrace,,3,3,72,"Are you enjoying my photos? I'm enjoying chilling out like always #CatsOfTwitter #TwitterCats #Cat #Kitten #Cute #TabbyCat #TabbyTroop #JoyOfCats",,,#CatsOfTwitter #TwitterCats #Cat #Kitten #Cute #TabbyCat #TabbyTroop #JoyOfCats,1266815567589265410,https://twitter.com/gretylandgrace/status/1266815567589265410
2019-10-17 23:25:17,FarandWidecom,,138,54,152,"English is the most spoken language in the world. Can you guess what No. 2 is?",,,,1184973688329953281,https://twitter.com/FarandWidecom/status/1184973688329953281
2020-05-30 18:35:43,rebeccastaab1,,21,12,183,"Someday I WILL be able to put my patio furniture cushions back on... but until then, it’s #kitten jungle-gym-mania... @WilliamdeVry1",,@WilliamdeVry1,#kitten,1266800471231983616,https://twitter.com/rebeccastaab1/status/1266800471231983616
2020-05-30 18:27:15,KittensCam,,15,1,105,"After a massive play session Merlin made himself right at home on the sofa! #orphan #foster #kitten #CatsOfTwitter #Caturday #CatsOfTheQuarantine #sleepy",,,#orphan #foster #kitten #CatsOfTwitter #Caturday #CatsOfTheQuarantine #sleepy,1266798341163298816,https://twitter.com/KittensCam/status/1266798341163298816
2020-05-30 17:47:35,Cat_lovers_team,,2,5,100,"hi.....cats lovers,,,, #CatsOfTwitter #CatsOfTheQuarantine #Animals #kitten ",,,#CatsOfTwitter #CatsOfTheQuarantine #Animals #kitten,1266788358245634048,https://twitter.com/Cat_lovers_team/status/1266788358245634048
2020-05-30 17:18:05,catsnkittys,,1,23,175,"This Shelter Kitten Felt All Alone Until Someone Saw Her True Beauty Trinity the #kitten was quite lonely in the shelter. Sadly, people would just pass her by but all she really wanted was to love and to be loved. CLICK to watch &gt; https://bit.ly/2zvPqMM?utm_campaign=meetedgar&amp;utm_medium=social&amp;utm_source=meetedgar.com",,,#kitten,1266780934155776000,https://twitter.com/catsnkittys/status/1266780934155776000
2020-05-30 13:34:11,nobunaga_ch,,0,11,67,"#americancurl Hi This is Nobunaga I’m getting sleepy again #cat #猫 #アメリカンカール #CatsOfTwitter #kitten ",,,#americancurl #cat #CatsOfTwitter #kitten,1266724589704327169,https://twitter.com/nobunaga_ch/status/1266724589704327169
2020-05-30 12:48:44,watercatlor,,0,35,121,"Sadacat If you like this post, don't forget to press to support this page . Photo credit: unknown #illustration #doodle #meowed #cat #kitty #watercatlor #9gagcute #9gag #catsareliquid #catmemes #catsofinstagram #kitty #kitten #catsareliquid #catlady #chonky",,,#illustration #doodle #meowed #cat #kitty #watercatlor #9gagcute #9gag #catsareliquid #catmemes #catsofinstagram #kitty #kitten #catsareliquid #catlady #chonky,1266713150046351362,https://twitter.com/watercatlor/status/1266713150046351362
2020-05-30 11:55:44,CatLoversCommu2,,0,17,138,"Are You Hungry? #Caturday #cat #cats #kitten #CatsOfTwitter #CatsOfTheQuarantine #catsofinstagram #SaturdayMorning #SaturdayMotivation #SaturdayVibes",,,#Caturday #cat #cats #kitten #CatsOfTwitter #CatsOfTheQuarantine #catsofinstagram #SaturdayMorning #SaturdayMotivation #SaturdayVibes,1266699814353301504,https://twitter.com/CatLoversCommu2/status/1266699814353301504
2020-05-30 11:30:54,Ragdoll_Oscar,,36,82,1190,"Hello! Do you recognise me? I was a little kitten a year ago. Have a super Saturday #CatsOfTwitter #kitten ",,,#CatsOfTwitter #kitten,1266693562814652416,https://twitter.com/Ragdoll_Oscar/status/1266693562814652416
2020-05-30 05:00:20,CatLoversCommu2,,12,60,274,"Best Teacher Best Students! #cat #cats #kitten #CatsOfTwitter #CatsOfTheQuarantine #catsofinstagram",,,#cat #cats #kitten #CatsOfTwitter #CatsOfTheQuarantine #catsofinstagram,1266595275071782912,https://twitter.com/CatLoversCommu2/status/1266595275071782912
2020-05-30 01:58:48,brendaoncats,MoValAnimals,0,23,12,"This video shows how gorgeous he really is! Save this kitten now! #sweet beautiful boy #kitten Charlie NEEDS u NOW!! Please #adopt or #pledge for #rescue! #morenovalley #MoVal #california #cats , #sweetheart ! #FridayThoughts #SaturdayThoughts #SAVEME ! #sweetheart",,,#sweet #kitten #adopt #pledge #rescue #morenovalley #MoVal #california #cats #sweetheart #FridayThoughts #SaturdayThoughts #SAVEME #sweetheart,1266549590226059266,https://twitter.com/brendaoncats/status/1266549590226059266
2020-05-29 21:23:27,nobunaga_ch,,1,4,22,"#caturday Hello I’m Nobunaga This is Momo, my eldest daughter She’s active &amp; cute #americancurl #アメリカンカール #cat #猫 #kitten #子猫 #CatsOfTwitter",,,#caturday #americancurl #cat #kitten #CatsOfTwitter,1266480295487791105,https://twitter.com/nobunaga_ch/status/1266480295487791105
2020-05-29 19:29:46,misspiratesavvy,,7,2,71,"I hope this little one brings a smile #kitten ",,,#kitten,1266451687247495169,https://twitter.com/misspiratesavvy/status/1266451687247495169
2020-05-29 15:51:47,INFJPhD,,3,4,30,"Handsome Monty. That face. #infj #introverts #kitteh #furbaby #CatsOfTwitter #amwriting #TGIF #FridayFeeling #kitten #kittylove #CatsOnTwitter",,,#infj #introverts #kitteh #furbaby #CatsOfTwitter #amwriting #TGIF #FridayFeeling #kitten #kittylove #CatsOnTwitter,1266396831291854848,https://twitter.com/INFJPhD/status/1266396831291854848
2020-05-29 15:44:18,joesdailycat,,2,24,80,"Random Cat Of The Day - Here's your daily cat! #rcotd #catoftheday #kitten ",,,#rcotd #catoftheday #kitten,1266394948443582465,https://twitter.com/joesdailycat/status/1266394948443582465
2020-05-29 11:07:54,watercatlor,,0,42,133,"Imagine this creature standing in front of your room in the middle of the night . Photo credit: unknown #illustration #doodle #meowed #cat #kitty #watercatlor #9gagcute #9gag #catsareliquid #catmemes #catsofinstagram #kitty #kitten #catsareliquid #catlady #chonky #chonkycattos",,,#illustration #doodle #meowed #cat #kitty #watercatlor #9gagcute #9gag #catsareliquid #catmemes #catsofinstagram #kitty #kitten #catsareliquid #catlady #chonky #chonkycattos,1266325390106062848,https://twitter.com/watercatlor/status/1266325390106062848
2020-05-29 06:44:34,KittensCam,,3,3,99,"Merlin’s wide awake and slowly ramping himself up for the morning zoomies #foster #kitten #mischief #CatsOfTheQuarantine #CatsOfTwitter",,,#foster #kitten #mischief #CatsOfTheQuarantine #CatsOfTwitter,1266259116810358784,https://twitter.com/KittensCam/status/1266259116810358784
2020-05-29 04:23:58,ONE_shot_GURL,,18,19,241,"Big jump #kitten #kittens pic.twitter.com/Zi4jF8x2kD",,,#kitten #kittens,1266223736480464896,https://twitter.com/ONE_shot_GURL/status/1266223736480464896
2020-05-29 03:58:00,Just_Kittin,,14,1,55,"My friend got a new kitten! What should his name be? #CatsOfTwitter #CatsOfTheQuarantine #Kitten ",,,#CatsOfTwitter #CatsOfTheQuarantine #Kitten,1266217200140062720,https://twitter.com/Just_Kittin/status/1266217200140062720
2020-05-30 23:50:05,MeowMoeDotCom,,0,3,14,"#Brothers from another #Mother #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe https://www.meowmoe.com/644179/brothers-from-another-mother-2/",,,#Brothers #Mother #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe,1266879585746071563,https://twitter.com/MeowMoeDotCom/status/1266879585746071563
2019-10-17 23:24:03,FarandWidecom,,1155,660,1912,"English is the most spoken language in the world. Can you guess what No. 2 is?",,,,1184973376718290944,https://twitter.com/FarandWidecom/status/1184973376718290944
2020-05-30 16:16:41,kitten_poker,,0,5,7,"All the #pink #draggo cards from my #Draggos #cardgame ^_^ #Screenshotsaturday #gamedev #gamedevelopment #cardgamedev #cardgamedevelopment #cardgamedesign #gamedesign #kittenpokercreations #puppydragon #pupper #puppy #kittydragon #kitten #kittycat #bunnydragon #bunny #bunbun",,,#pink #draggo #Draggos #cardgame #Screenshotsaturday #gamedev #gamedevelopment #cardgamedev #cardgamedevelopment #cardgamedesign #gamedesign #kittenpokercreations #puppydragon #pupper #puppy #kittydragon #kitten #kittycat #bunnydragon #bunny #bunbun,1266765483254124545,https://twitter.com/kitten_poker/status/1266765483254124545
2020-05-30 15:32:41,MrsP123,,1,2,37,"Happy #Caturday friends it’s been one week since this little one joined the herd #Kitten ",,,#Caturday #Kitten,1266754411482800135,https://twitter.com/MrsP123/status/1266754411482800135
2020-05-30 07:28:37,MiloandMolly1,,0,2,16,"It’s been a busy morning already #caturday #magic #kitten #panfursquad #CatsOfTwitter",,,#caturday #magic #kitten #panfursquad #CatsOfTwitter,1266632593195270146,https://twitter.com/MiloandMolly1/status/1266632593195270146
2020-05-30 07:09:41,oliversbrighton,,1,4,10,"Today Luna's celebrating her 3rd birthday with her new sister Mercury! #brighton #harrypotter #bunny #rabbit #kitten #cuteanimals",,,#brighton #harrypotter #bunny #rabbit #kitten #cuteanimals,1266627828684111872,https://twitter.com/oliversbrighton/status/1266627828684111872
2020-05-29 11:36:42,CatLoversCommu2,,4,18,139,"Happy Family #cat #cats #kitten #CatsOfTwitter #CatsOfTheQuarantine #catsofinstagram #fridaymorning #FridayThoughts",,,#cat #cats #kitten #CatsOfTwitter #CatsOfTheQuarantine #catsofinstagram #fridaymorning #FridayThoughts,1266332637947453441,https://twitter.com/CatLoversCommu2/status/1266332637947453441
2020-05-29 06:08:51,MiloandMolly1,,0,3,15,"Sun puddles take priority over sitting next to the bin #minnie #kitten #panfursquad #CatsOfTwitter",,,#minnie #kitten #panfursquad #CatsOfTwitter,1266250129935228930,https://twitter.com/MiloandMolly1/status/1266250129935228930
2020-05-29 04:00:39,gretylandgrace,,3,4,28,"Feeling cute! #CatsOfTwitter #TwitterCats #Cat #Kitten #Cute #TabbyCat #TabbyTroop #JoyOfCats",,,#CatsOfTwitter #TwitterCats #Cat #Kitten #Cute #TabbyCat #TabbyTroop #JoyOfCats,1266217869706174464,https://twitter.com/gretylandgrace/status/1266217869706174464
